state,year,inc_per_cap_act
Idaho,2005,40556.28170799228
Idaho,2006,41880.673460166894
Idaho,2007,42647.055453810826
Idaho,2008,41018.71575835217
Idaho,2009,39182.29246970516
Idaho,2010,38908.0566751793
Idaho,2011,40120.72683240766
Idaho,2012,40897.340276821415
Idaho,2013,41383.03543804195
Idaho,2014,42658.30269076702
Idaho,2015,44874.468347396585
Idaho,2016,45199.4432958306
Idaho,2017,45941.887417463164
Idaho,2018,47432.55686057974
Idaho,2019,48217.57537946438
Illinois,1980,37199.781294137516
Illinois,1981,45623.29058003722
Illinois,1982,44708.99814020288
Illinois,1983,44943.50971353683
Illinois,1984,47498.38015644485
Illinois,1985,48784.954898717675
Illinois,1986,48885.631327361276
Illinois,1987,50994.02067576225
Illinois,1988,52248.51746067605
Illinois,1989,53251.532569837946
Illinois,1990,81671.11226623728
Illinois,1991,78732.26746064161
Illinois,1992,80963.17610738719
Illinois,1993,81571.43854851823
Illinois,1994,83295.83662601055
Illinois,1995,85307.05679405159
Illinois,1996,87712.42919669343
Illinois,1997,88707.82050551864
Illinois,1998,91505.17716662833
Illinois,1999,93272.51433576466
Illinois,2000,51862.60666559033
Illinois,2001,51535.78347863412
Illinois,2002,51308.38993215362
Illinois,2003,50642.22332403751
Illinois,2004,51415.5486196285
Illinois,2005,51963.624634636195
Illinois,2006,53118.47469298226
Illinois,2007,54801.98677033661
Illinois,2008,53594.39058077838
Illinois,2009,50827.82429949719
Illinois,2010,51248.23776420743
Illinois,2011,52841.819448339826
Illinois,2012,53518.26346622867
Illinois,2013,53859.57226126995
Illinois,2014,55663.38882792082
Illinois,2015,58377.27120180907
Illinois,2016,58403.81951744663
Illinois,2017,58966.75946008595
Illinois,2018,60837.98133613195
Illinois,2019,61638.82459772227
Indiana,1980,31793.86662536155
Indiana,1981,37395.39163966563
Indiana,1982,35879.581927730935
Indiana,1983,36422.31483071393
Indiana,1984,38693.93963893873
Indiana,1985,39458.66135805531
Indiana,1986,40016.52317498278
Indiana,1987,41716.14180916564
Indiana,1988,42716.42236367515
Indiana,1989,44218.39499220777
Indiana,1990,42044.01871914254
Indiana,1991,40694.38649310206
Indiana,1992,42479.658187008914
Indiana,1993,42558.90941033339
Indiana,1994,43332.84107007705
Indiana,1995,43303.81929213277
Indiana,1996,44323.32367565706
Indiana,1997,44512.066539498024
Indiana,1998,46881.4898280343
Indiana,1999,47819.18525204508
Indiana,2000,44158.77796289179
Indiana,2001,43293.49484577094
Indiana,2002,43236.77564290919
Indiana,2003,42846.62665362313
Indiana,2004,43752.38392718394
Indiana,2005,43693.19088332816
Indiana,2006,44154.51651887419
Indiana,2007,44468.92479519256
Indiana,2008,44215.61090060611
Indiana,2009,42847.67059949745
Indiana,2010,43164.98814882869
Indiana,2011,45072.36745552227
Indiana,2012,45712.31024745664
Indiana,2013,45312.83296692523
Indiana,2014,46251.68510264793
Indiana,2015,48108.77866959567
Indiana,2016,48659.229009080795
Indiana,2017,49176.17690515609
Indiana,2018,50378.639177731005
Indiana,2019,51060.05917165672
Iowa,1980,32614.540940574792
Iowa,1981,33082.53505784331
Iowa,1982,31607.178847301286
Iowa,1983,31234.53676482545
Iowa,1984,33517.282783734685
Iowa,1985,33833.0405267047
Iowa,1986,34070.47537213701
Iowa,1987,35544.637721241634
Iowa,1988,35257.84839970817
Iowa,1989,36711.21250808367
Iowa,1990,38260.32098028414
Iowa,1991,36952.26948958983
Iowa,1992,38309.52369114405
Iowa,1993,37301.93310721957
Iowa,1994,39503.36226353315
Iowa,1995,40151.77484317012
Iowa,1996,42217.19231252251
Iowa,1997,42706.706749532896
Iowa,1998,43856.94060679356
Iowa,1999,44239.532291993964
Iowa,2000,42967.142074916716
Iowa,2001,42583.05265041585
Iowa,2002,43059.710197863074
Iowa,2003,42746.29436036318
Iowa,2004,45186.60750752022
Iowa,2005,45246.33486707529
Iowa,2006,45975.539414304556
Iowa,2007,48017.97174316507
Iowa,2008,48459.50363684253
Iowa,2009,46783.97827481675
Iowa,2010,46392.5716448749
Iowa,2011,49020.77764131422
Iowa,2012,49863.34646954715
Iowa,2013,49687.21580906565
Iowa,2014,50419.50689061018
Iowa,2015,52223.624303001816
Iowa,2016,51863.05967723166
Iowa,2017,51804.21303671086
Iowa,2018,53416.89680981382
Iowa,2019,54403.06452905602
Kansas,1980,34281.650176700314
Kansas,1981,34441.529057137814
Kansas,1982,34258.52504852748
Kansas,1983,34195.68542263998
Kansas,1984,35859.70589050034
Kansas,1985,36384.14335221146
Kansas,1986,36605.84658785445
Kansas,1987,37566.369559877
Kansas,1988,37739.420630242945
Kansas,1989,38087.815808452986
Kansas,1990,44580.379446326726
Kansas,1991,43282.03984383966
Kansas,1992,45313.08379247854
Kansas,1993,45628.369463489784
Kansas,1994,45843.331998092995
Kansas,1995,46256.75495441444
Kansas,1996,47441.18338973866
Kansas,1997,48445.191169744205
Kansas,1998,50699.742243883076
Kansas,1999,51360.150005413954
Kansas,2000,44188.63883173588
Kansas,2001,43859.622272903165
Kansas,2002,43528.80370540105
Kansas,2003,43411.692632419385
Kansas,2004,43641.268304817415
Kansas,2005,44713.527448736335
Kansas,2006,47219.12573252128
Kansas,2007,49359.77440350948
Kansas,2008,51101.46345840819
Kansas,2009,49078.826755460665
Kansas,2010,48167.647850358335
Kansas,2011,51137.31927082259
Kansas,2012,52437.15874240498
Kansas,2013,52531.68467417625
Kansas,2014,52759.33317112029
Kansas,2015,53402.54599453831
Kansas,2016,52802.25285752991
Kansas,2017,53130.984474724406
Kansas,2018,54573.331673640474
Kansas,2019,56040.46636071457
