date,state,unemployment
1976-08-01,Indiana,5.7
1976-08-01,Iowa,3.9
1976-08-01,Kansas,4.1
1976-08-01,Kentucky,5.4
1976-08-01,Louisiana,6.8
1976-08-01,Maine,8.5
1976-08-01,Maryland,6.6
1976-08-01,Massachusetts,9.4
1976-08-01,Michigan,9.1
1976-08-01,Minnesota,5.7
1976-08-01,Mississippi,6.3
1976-08-01,Missouri,6.3
1976-08-01,Montana,5.9
1976-08-01,Nebraska,3.1
1976-08-01,Nevada,8.6
1976-08-01,New Hampshire,6.4
1976-08-01,New Jersey,10.4
1976-08-01,New Mexico,8.6
1976-08-01,New York,10.2
1976-08-01,North Carolina,5.9
1976-08-01,North Dakota,3.9
1976-08-01,Ohio,7.5
1976-08-01,Oklahoma,5.5
1976-08-01,Oregon,9.2
1976-08-01,Pennsylvania,7.9
1976-08-01,Rhode Island,8
1976-08-01,South Carolina,6.8
1976-08-01,South Dakota,3.3
1976-08-01,Tennessee,6.1
1976-08-01,Texas,5.8
1976-08-01,Utah,5.4
1976-08-01,Vermont,8.2
1976-08-01,Virginia,5.8
1976-08-01,Washington,8.9
1976-08-01,West Virginia,7.1
1976-08-01,Wisconsin,5.3
1976-08-01,Wyoming,3.7
1976-09-01,Alabama,6.8
1976-09-01,Alaska,8
1976-09-01,Arizona,9.6
1976-09-01,Arkansas,6.6
1976-09-01,California,9.2
1976-09-01,Colorado,6.1
1976-09-01,Connecticut,8.8
1976-09-01,District of Columbia,8.7
1976-09-01,Delaware,9
1976-09-01,Florida,9.1
1976-09-01,Georgia,8
1976-09-01,Hawaii,8.8
1976-09-01,Idaho,5.6
1976-09-01,Illinois,6.6
1976-09-01,Indiana,5.7
1976-09-01,Iowa,3.9
1976-09-01,Kansas,4.1
1976-09-01,Kentucky,5.3
1976-09-01,Louisiana,6.9
1976-09-01,Maine,8.6
1976-09-01,Maryland,6.7
1976-09-01,Massachusetts,9.2
1976-09-01,Michigan,9
1976-09-01,Minnesota,5.7
1976-09-01,Mississippi,6.4
1976-09-01,Missouri,6.4
1976-09-01,Montana,5.9
1976-09-01,Nebraska,3.1
1976-09-01,Nevada,8.6
1976-09-01,New Hampshire,6.3
1976-09-01,New Jersey,10.4
1976-09-01,New Mexico,8.7
1976-09-01,New York,10.2
1976-09-01,North Carolina,6
1976-09-01,North Dakota,4
1976-09-01,Ohio,7.5
1976-09-01,Oklahoma,5.4
1976-09-01,Oregon,9.2
1976-09-01,Pennsylvania,7.9
1976-09-01,Rhode Island,8.2
1976-09-01,South Carolina,6.8
1976-09-01,South Dakota,3.4
1976-09-01,Tennessee,6.1
1976-09-01,Texas,5.7
1976-09-01,Utah,5.4
1976-09-01,Vermont,8
1976-09-01,Virginia,5.8
1976-09-01,Washington,9
1976-09-01,West Virginia,6.9
1976-09-01,Wisconsin,5.4
1976-09-01,Wyoming,3.7
1976-10-01,Alabama,6.9
1976-10-01,Alaska,8.3
1976-10-01,Arizona,9.5
1976-10-01,Arkansas,6.6
1976-10-01,California,9.3
1976-10-01,Colorado,6.3
1976-10-01,Connecticut,8.7
1976-10-01,District of Columbia,8.8
1976-10-01,Delaware,9.1
1976-10-01,Florida,9.1
1976-10-01,Georgia,8.1
1976-10-01,Hawaii,8.7
1976-10-01,Idaho,5.7
1976-10-01,Illinois,6.5
1976-10-01,Indiana,5.8
1976-10-01,Iowa,4
1976-10-01,Kansas,4.1
1976-10-01,Kentucky,5.2
1976-10-01,Louisiana,6.9
1976-10-01,Maine,8.8
1976-10-01,Maryland,6.7
1976-10-01,Massachusetts,9.1
1976-10-01,Michigan,9
1976-10-01,Minnesota,5.8
1976-10-01,Mississippi,6.6
1976-10-01,Missouri,6.5
1976-10-01,Montana,6
1976-10-01,Nebraska,3.1
1976-10-01,Nevada,8.6
1976-10-01,New Hampshire,6.3
1976-10-01,New Jersey,10.5
1976-10-01,New Mexico,8.9
1976-10-01,New York,10.2
1976-10-01,North Carolina,6.2
1976-10-01,North Dakota,4.1
1976-10-01,Ohio,7.5
1976-10-01,Oklahoma,5.4
1976-10-01,Oregon,9.3
1976-10-01,Pennsylvania,7.9
1976-10-01,Rhode Island,8.4
1976-10-01,South Carolina,6.8
1976-10-01,South Dakota,3.5
1976-10-01,Tennessee,6.3
1976-10-01,Texas,5.7
1976-10-01,Utah,5.4
1976-10-01,Vermont,7.9
1976-10-01,Virginia,5.7
1976-10-01,Washington,9.1
1976-10-01,West Virginia,6.8
1976-10-01,Wisconsin,5.4
1976-10-01,Wyoming,3.7
1976-11-01,Alabama,7
1976-11-01,Alaska,8.6
1976-11-01,Arizona,9.4
1976-11-01,Arkansas,6.6
1976-11-01,California,9.3
1976-11-01,Colorado,6.4
1976-11-01,Connecticut,8.5
1976-11-01,District of Columbia,8.9
1976-11-01,Delaware,9.2
1976-11-01,Florida,9.1
1976-11-01,Georgia,8.1
1976-11-01,Hawaii,8.7
1976-11-01,Idaho,5.8
1976-11-01,Illinois,6.4
1976-11-01,Indiana,5.8
1976-11-01,Iowa,4
1976-11-01,Kansas,4.1
1976-11-01,Kentucky,5.2
1976-11-01,Louisiana,6.9
1976-11-01,Maine,8.9
1976-11-01,Maryland,6.7
1976-11-01,Massachusetts,9
1976-11-01,Michigan,9
1976-11-01,Minnesota,5.9
1976-11-01,Mississippi,6.7
